## RECSRecommendations Upload File,,,,,,,,,,,,
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines.,,,,,,,,,,,,
## RECS,,,,,,,,,,,,
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left.,,,,,,,,,,,,
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'.,,,,,,,,,,,,
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations.,,,,,,,,,,,,
## RECSentity.id,entity.name,entity.categoryId,entity.message,entity.thumbnailUrl,entity.value,entity.pageUrl,entity.inventory,entity.margin,entity.description,entity.tag,entity.subcategory,entity.private
bank-access-line-of-credit-application-ab0176e.pdf,Bank - Access Line of Credit Application (AB0176E),Banking,-,-,-,https://advisors.manulife.ca/content/dam/manulife-advisor-portal/documents/en/forms/bank/access-line-of-credit/private/bank-access-line-of-credit-application-ab0176e.pdf,-,-,"Complete this form to apply for a Manulife Bank Access Line of Credit ($25,000 to $100,000). (AB0176E)",Before the sale,Access Line of Credit,TRUE
bank-access-line-of-credit-application-for-the-guarantor-ab0208e.pdf,Bank - Access Line of Credit - Application for the Guarantor (AB0208E),Banking,-,-,-,https://advisors.manulife.ca/content/dam/manulife-advisor-portal/documents/en/forms/bank/access-line-of-credit/private/bank-access-line-of-credit-application-for-the-guarantor-ab0208e.pdf,-,-,"To be completed by the guarantor, when applicable for custom loans and Access line of credit. (AB0208E)",Before the sale,Access Line of Credit,TRUE
bank-access-line-of-credit-plus-application-ab0229e.pdf,Bank - Access Line of Credit Plus Application (AB0229E),Banking,-,-,-,https://advisors.manulife.ca/content/dam/manulife-advisor-portal/documents/en/forms/bank/access-line-of-credit/private/bank-access-line-of-credit-plus-application-ab0229e.pdf,-,-,"Complete this form to apply for a Manulife Bank Access Line of Credit Plus ($100,001 and up). (AB0229E)",Before the sale,Access Line of Credit,TRUE
bank-access-line-of-credit-hypothecation-of-account-balance-form-ab0307e.pdf,Bank - Access Line of Credit - Hypothecation of Account Balance Form (AB0307E),Banking,-,-,-,https://advisors.manulife.ca/content/dam/manulife-advisor-portal/documents/en/forms/bank/access-line-of-credit/private/bank-access-line-of-credit-hypothecation-of-account-balance-form-ab0307e.pdf,-,-,Security document related to Manulife Bank GICs and deposit accounts. (AB0307E),Before the sale,Access Line of Credit,TRUE
bank-access-line-of-credit-hypothecation-of-account-balance-quebec-form-ab0307-qce.pdf,Bank - Access Line of Credit - Hypothecation of Account Balance Quebec Form (AB0307QCE),Banking,-,-,-,https://advisors.manulife.ca/content/dam/manulife-advisor-portal/documents/en/forms/bank/access-line-of-credit/private/bank-access-line-of-credit-hypothecation-of-account-balance-quebec-form-ab0307-qce.pdf,-,-,Security document related to Manulife Bank GICs and deposit accounts for use in Quebec. (AB0307E QC),Before the sale,Access Line of Credit,TRUE
bank-advantage-account-comparison-calculatore.xlsm,Bank - Advantage Account - Comparison Calculator (Excel),Banking,-,-,-,https://advisors.manulife.ca/content/dam/manulife-advisor-portal/documents/en/forms/bank/advantage-account/private/bank-advantage-account-comparison-calculatore.xlsm,-,-,Calculator highlights Advantage Account benefits,Before the sale,Advantage Account,TRUE
bank-advantage-account-referral-program-client-disclosure-ms1199e.pdf,Bank - Advantage Account - Manulife Securities Referral Program Client Disclosure Form,Banking,-,-,-,https://advisors.manulife.ca/content/dam/manulife-advisor-portal/documents/en/forms/bank/advantage-account/private/bank-advantage-account-referral-program-client-disclosure-ms1199e.pdf,-,-,Required for all MSI advisors to complete and hold in client file. (MS1199E),Before the sale,Advantage Account,TRUE
bank-business-advantage-account-comparison-calculatore.xlsm,Bank Business Advantage Account - Comparison Calculator,Banking,-,-,-,https://advisors.manulife.ca/content/dam/manulife-advisor-portal/documents/en/forms/bank/business-advantage-account/private/bank-business-advantage-account-comparison-calculatore.xlsm,-,-,Calculator highlights Business Advantage Account benefits,Before the sale,Business Advantage Account,TRUE
bank-business-advantage-account-application-kit-ab0211e.pdf,Bank - Business Deposit Account Application (AB0211E),Banking,-,-,-,https://advisors.manulife.ca/content/dam/manulife-advisor-portal/documents/en/forms/bank/business-advantage-account/private/bank-business-advantage-account-application-kit-ab0211e.pdf,-,-,Bank Business Advantage Account - Application Kit - AB0211E,Before the sale,Business Advantage Account,TRUE
bank-business-advantage-account-business-informaton-statement-form-ab0462e.pdf,Bank - Business Advantage Account - Business Informaton Statement Form (AB0462E),Banking,-,-,-,https://advisors.manulife.ca/content/dam/manulife-advisor-portal/documents/en/forms/bank/business-advantage-account/private/bank-business-advantage-account-business-informaton-statement-form-ab0462e.pdf,-,-,"To be completed for non-personal applicants, non-personal guarantors or if a business directly or indirectly owns or controls 25% of more of another business. (AB0462E)",Before the sale,Business Advantage Account,TRUE
